NUM,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,S21M,S21P,S21M.1,S21P.1,S21M.2,S21P.2,S21M.3,S21P.3,S21M.4,S21P.4,S21M.5,S21P.5,S21M.6,S21P.6,S21M.7,S21P.7,S21M.8,S21P.8,S21M.9,S21P.9,S21M.10,S21P.10,S21M.11,S21P.11,S21M.12,S21P.12,S21M.13,S21P.13,S21M.14,S21P.14,S21M.15,S21P.15,W6,L6
22,6813.55346568221,302.929185352769,6818.9707300095,304.113059486315,6813.07872481746,1.31706915579721,8.46135427527429,11.123048835197,11.546229227491,1.34773285521764,0.985,-0.161,0.686,-0.721,0.085,-0.986,-0.574,-0.756,-0.795,-0.112,-0.491,0.31,-0.176,0.355,-0.011,0.277,0.059,0.196,0.086,0.135,0.096,0.093,0.1,0.063,0.103,0.041,0.109,0.022,0.121,0.004,0.136,-0.013,0.0,0.0
23,6809.65666012793,291.227004128003,6818.46135647587,293.370825336841,6818.96899630394,2.61994056788417,10.2433775771635,15.5546574093827,5.66099056954299,2.99160679235456,0.982,-0.18,0.606,-0.777,-0.074,-0.949,-0.656,-0.59,-0.763,0.03,-0.423,0.429,-0.047,0.431,0.126,0.273,0.162,0.142,0.152,0.063,0.136,0.018,0.126,-0.012,0.128,-0.038,0.152,-0.082,0.24,-0.269,-0.696,-0.411,0.0,0.0
24,6813.8945459716,299.512459802667,6810.53256657873,308.042760917629,6816.6451977392,1.4000404663964,7.58421931660984,12.133073735996,10.9451710300369,1.40627671908126,0.986,-0.161,0.687,-0.721,0.086,-0.982,-0.557,-0.75,-0.779,-0.14,-0.513,0.285,-0.201,0.359,-0.023,0.292,0.057,0.21,0.09,0.146,0.102,0.1,0.107,0.067,0.112,0.043,0.12,0.023,0.136,0.002,0.159,-0.018,0.0,0.0
25,6808.85158277426,298.975660081426,6814.08004488755,300.29622379304,6815.01301657808,3.06992203435436,10.8860049569056,12.4331264268912,8.61823311131623,4.5767104693492,0.98,-0.19,0.573,-0.811,-0.164,-0.969,-0.809,-0.521,-0.825,0.317,-0.127,0.617,0.192,0.298,0.178,0.095,0.125,0.018,0.088,-0.011,0.064,-0.022,0.051,-0.027,0.043,-0.032,0.039,-0.039,0.04,-0.051,0.044,-0.068,0.0,0.0
26,6801.27604389324,306.194077433712,6818.1136661871,301.289398919513,6806.52729653432,3.65458134825296,14.4310771716004,7.24061959154036,14.9750780527135,2.10395787326518,0.977,-0.197,0.544,-0.813,-0.179,-0.947,-0.839,-0.512,-0.804,0.435,-0.029,0.564,0.173,0.25,0.156,0.094,0.12,0.029,0.093,-0.001,0.076,-0.017,0.067,-0.028,0.063,-0.04,0.063,-0.058,0.068,-0.093,0.071,-0.148,0.0,0.0
27,6812.68740319772,295.60007060984,6818.97379012556,310.604844263166,6801.50803196497,2.03473382547653,6.97721642598271,8.13644497270505,7.64780157331645,2.71545613144295,0.99,-0.134,0.78,-0.621,0.345,-0.933,-0.203,-0.972,-0.705,-0.687,-0.941,-0.116,-0.69,0.46,-0.181,0.594,0.109,0.404,0.176,0.216,0.162,0.103,0.132,0.043,0.105,0.012,0.084,-0.005,0.069,-0.015,0.061,-0.019,0.0,0.0
28,6812.91979472953,296.585810541649,6807.66331066649,296.302006456877,6807.92195305345,4.58506120654094,9.53731814986152,10.3654453182953,9.76020531941429,2.80310609703953,0.982,-0.178,0.622,-0.777,-0.056,-0.99,-0.727,-0.667,-0.944,0.127,-0.317,0.674,0.168,0.4,0.196,0.141,0.142,0.036,0.098,-0.002,0.07,-0.017,0.052,-0.023,0.042,-0.026,0.035,-0.029,0.032,-0.033,0.03,-0.038,0.0,0.0
29,6816.46298549394,298.488300217162,6816.82098323977,292.552130912966,6807.88443849956,2.31802887607554,9.65144280291039,11.2483926795033,11.7386158088383,2.78383411250995,0.982,-0.18,0.614,-0.783,-0.084,-0.988,-0.758,-0.6,-0.81,0.196,-0.262,0.509,0.061,0.345,0.132,0.177,0.125,0.082,0.104,0.033,0.087,0.007,0.074,-0.008,0.067,-0.019,0.064,-0.029,0.066,-0.042,0.072,-0.057,0.0,0.0
30,6805.92726090449,293.051315187432,6816.46609214911,310.234527438808,6815.8648336215,2.17154121344911,5.87450666228315,12.7328981578349,12.7686380508716,2.09353046495301,0.984,-0.171,0.643,-0.757,-0.015,-0.969,-0.621,-0.645,-0.756,-0.037,-0.46,0.355,-0.127,0.399,0.056,0.292,0.12,0.182,0.132,0.104,0.128,0.054,0.121,0.021,0.118,-0.003,0.123,-0.026,0.139,-0.059,0.167,-0.105,0.0,0.0
31,6805.83777380129,304.147934243826,6805.16383309425,305.650923062168,6809.30549487193,2.46229880392041,12.5605225817139,8.20085939750589,9.14645580020376,3.53058902867321,0.984,-0.17,0.651,-0.75,0.019,-0.984,-0.629,-0.743,-0.948,-0.063,-0.523,0.606,0.067,0.505,0.194,0.222,0.163,0.08,0.121,0.02,0.09,-0.006,0.069,-0.018,0.056,-0.024,0.047,-0.03,0.043,-0.035,0.041,-0.041,0.0,0.0
