NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
40,6812.41928372184,309.2379481686,6809.14580525492,305.507920351248,6809.92665851792,290.681332106058,3.6701983065037,6.71151090072957,9.87915933424237,13.2080688848819,4.96442185110663,2.92940648040425,0.978,-0.199,0.535,-0.837,-0.24,-0.946,-0.835,-0.439,-0.821,0.351,-0.142,0.762,0.388,0.363,0.3,-0.014,0.138,-0.096,0.055,-0.086,0.018,-0.066,0.002,-0.051,-0.007,-0.041,-0.012,-0.035,-0.017,-0.033,-0.022,-0.034
41,6801.7812532057,309.596710810601,6808.25705178272,303.695341977419,6802.69285934417,292.113351261111,4.11185570814672,9.98955778913649,10.8491164782708,12.9445449609035,9.53750156137765,4.30959305118207,0.968,-0.244,0.328,-0.938,-0.623,-0.771,-0.965,0.195,-0.06,0.91,0.478,0.104,0.155,-0.118,0.037,-0.083,0.004,-0.051,-0.006,-0.033,-0.009,-0.024,-0.011,-0.018,-0.013,-0.016,-0.016,-0.016,-0.024,-0.017,-0.036,-0.021
42,6809.17294513572,310.533568670072,6806.92432863676,298.080450483906,6814.79310507335,299.613196832944,1.54238823935338,4.56002554612244,7.17012335245891,14.2441064343168,8.36609454064012,3.59903457577254,0.98,-0.19,0.572,-0.814,-0.171,-0.973,-0.812,-0.511,-0.81,0.286,-0.213,0.622,0.193,0.393,0.248,0.13,0.183,-0.003,0.116,-0.051,0.068,-0.063,0.039,-0.062,0.02,-0.059,0.008,-0.058,-0.003,-0.062,-0.012,-0.07
43,6815.27390484226,295.148095060701,6808.91732922093,307.508877878331,6813.60064038179,306.932645274668,4.54526799423302,4.42504249358205,13.21990357233,12.9234791901489,7.4779662498075,2.92524974948679,0.974,-0.219,0.444,-0.879,-0.402,-0.872,-0.882,-0.174,-0.551,0.537,0.098,0.591,0.359,0.184,0.224,-0.069,0.09,-0.101,0.029,-0.081,0.004,-0.061,-0.008,-0.049,-0.015,-0.043,-0.023,-0.042,-0.038,-0.05,-0.067,-0.067
44,6810.91792674115,291.044319841756,6801.01364426526,310.671467804003,6818.00468023553,305.97445283191,2.75838358919893,4.24486214456289,10.9710432898552,11.8230375763827,6.27760450616657,3.59767124159878,0.98,-0.192,0.561,-0.818,-0.182,-0.957,-0.791,-0.508,-0.837,0.248,-0.272,0.683,0.256,0.469,0.329,0.105,0.203,-0.063,0.097,-0.093,0.04,-0.081,0.012,-0.065,-0.002,-0.052,-0.01,-0.045,-0.016,-0.041,-0.022,-0.04
45,6812.84886335605,309.809020790955,6817.50699218045,305.220206372456,6808.74283455028,294.04433011869,3.26686414044086,6.89572551157473,12.8738019747275,7.17223529758289,4.72955393021487,3.0344280929858,0.981,-0.186,0.588,-0.795,-0.109,-0.963,-0.724,-0.602,-0.897,0.093,-0.476,0.675,0.198,0.646,0.419,0.176,0.257,-0.077,0.113,-0.113,0.043,-0.094,0.012,-0.072,-0.003,-0.057,-0.011,-0.048,-0.018,-0.044,-0.024,-0.045
46,6818.73041346982,306.737892240343,6813.58404553818,302.367307553959,6809.51879788627,290.496928920182,1.38233344069332,5.00674611647429,8.95736286274731,10.2237162962895,5.63182865813714,4.45086815241519,0.983,-0.174,0.639,-0.763,-0.011,-0.987,-0.652,-0.72,-0.949,-0.07,-0.645,0.632,0.11,0.717,0.382,0.244,0.261,-0.012,0.139,-0.074,0.07,-0.075,0.033,-0.063,0.014,-0.052,0.003,-0.043,-0.003,-0.037,-0.006,-0.034
47,6815.7314807386,295.123210926604,6803.28674231378,303.437566487555,6804.20492155444,304.873129163083,4.29715012196462,9.40438616027205,9.57877203148168,7.61693849471079,9.41767431422343,4.91129497425766,0.974,-0.217,0.455,-0.881,-0.394,-0.901,-0.937,-0.225,-0.707,0.619,0.296,0.93,0.527,-0.146,0.093,-0.174,0.006,-0.089,-0.01,-0.048,-0.013,-0.029,-0.013,-0.019,-0.012,-0.014,-0.012,-0.01,-0.012,-0.009,-0.014,-0.008
48,6809.34499634076,302.97017406468,6806.03097918769,294.974770785921,6810.85675701089,303.377191463548,1.4959399393721,4.55092164598751,11.0656941756642,9.43545537328084,5.62324193731827,2.54227759162394,0.984,-0.171,0.649,-0.751,0.017,-0.983,-0.623,-0.735,-0.914,-0.094,-0.608,0.53,-0.027,0.611,0.251,0.327,0.252,0.096,0.18,-0.013,0.116,-0.052,0.072,-0.062,0.044,-0.062,0.026,-0.059,0.013,-0.057,0.006,-0.057
49,6802.59949007709,307.560222049897,6812.51643427319,295.411821665414,6801.12933302769,292.722441897384,4.00161240392795,9.23762341132884,7.81155526954772,14.3484102658956,8.39235047124878,1.72345339990978,0.974,-0.216,0.456,-0.883,-0.401,-0.891,-0.916,-0.202,-0.624,0.636,0.296,0.615,0.33,0.039,0.144,-0.073,0.06,-0.069,0.025,-0.054,0.009,-0.043,0.001,-0.036,-0.005,-0.032,-0.01,-0.031,-0.016,-0.034,-0.026,-0.041
50,6818.21344198184,295.544591512749,6813.29684144616,297.817999621602,6818.47787296277,307.902321274605,2.34882020492089,7.08247254234515,11.089526919891,11.4707306635772,6.10528673286228,3.5578628529369,0.978,-0.201,0.527,-0.843,-0.263,-0.951,-0.877,-0.405,-0.79,0.446,-0.011,0.727,0.363,0.262,0.245,-0.02,0.118,-0.077,0.052,-0.072,0.021,-0.058,0.005,-0.046,-0.003,-0.038,-0.008,-0.034,-0.013,-0.033,-0.018,-0.034
51,6807.91025200107,298.362135862174,6803.14529730992,305.637661776951,6815.78707308984,295.632353548164,2.00630833052572,9.17505162534296,11.0381427604338,7.84161668664245,6.74033659581644,2.56380795461478,0.98,-0.191,0.569,-0.814,-0.166,-0.967,-0.794,-0.541,-0.905,0.241,-0.257,0.8,0.364,0.415,0.295,0.03,0.152,-0.065,0.074,-0.07,0.035,-0.06,0.016,-0.049,0.005,-0.041,-0.002,-0.036,-0.007,-0.034,-0.01,-0.034
52,6801.70070896975,295.871762217128,6809.06155456548,299.574461063361,6813.93140961381,297.370251698877,1.33915733991989,4.43650311647616,9.51698092670535,9.70291369900255,9.85802647159001,2.2094085545364,0.982,-0.182,0.607,-0.783,-0.074,-0.984,-0.749,-0.648,-0.922,0.165,-0.317,0.649,0.15,0.435,0.227,0.173,0.182,0.036,0.127,-0.022,0.084,-0.043,0.055,-0.05,0.036,-0.051,0.023,-0.051,0.013,-0.052,0.006,-0.054
53,6803.26364279481,303.03909531913,6804.91776117539,301.849098313989,6802.09550409225,304.723191029451,2.77107409167998,8.39837217004643,14.5696995908003,14.6069931386611,7.13846112365353,3.65067243045322,0.968,-0.242,0.33,-0.935,-0.614,-0.752,-0.875,0.197,-0.107,0.676,0.307,0.244,0.205,-0.018,0.096,-0.068,0.041,-0.064,0.015,-0.054,0.002,-0.047,-0.008,-0.046,-0.02,-0.053,-0.05,-0.081,-0.537,-0.134,0.078,0.17
