NUM,W1,W2,W3,W4,L1,L2,L3,L4,S21M,S21P,S21M.1,S21P.1,S21M.2,S21P.2,S21M.3,S21P.3,S21M.4,S21P.4,S21M.5,S21P.5,S21M.6,S21P.6,S21M.7,S21P.7,S21M.8,S21P.8,S21M.9,S21P.9,S21M.10,S21P.10,S21M.11,S21P.11,S21M.12,S21P.12,S21M.13,S21P.13,S21M.14,S21P.14,S21M.15,S21P.15,W5,W6,L5,L6
4243,6801.40620547116,298.826286543567,6817.82840219991,300.696897503463,5.09836947591141,10.3950654808649,7.59854689156589,3.66256257080393,0.991,-0.129,0.795,-0.601,0.384,-0.918,-0.155,-0.979,-0.67,-0.695,-0.849,-0.112,-0.564,0.318,-0.231,0.379,-0.054,0.3,0.021,0.217,0.051,0.157,0.062,0.117,0.065,0.089,0.067,0.071,0.069,0.058,0.071,0.05,0.0,0.0,0.0,0.0
4244,6802.61894785371,310.97990399569,6803.10123299841,295.223153871978,5.05226656237674,10.4652637248126,5.84366160667567,2.99521763439871,0.992,-0.118,0.829,-0.554,0.479,-0.871,0.006,-0.986,-0.482,-0.834,-0.798,-0.408,-0.749,0.088,-0.456,0.343,-0.2,0.36,-0.055,0.295,0.014,0.226,0.046,0.172,0.061,0.133,0.068,0.105,0.071,0.085,0.074,0.074,0.0,0.0,0.0,0.0
4245,6811.51077452684,307.708278679008,6818.33011540331,302.357708914931,3.80211122944123,12.8021496854313,10.4934743445584,4.85557009536565,0.987,-0.152,0.72,-0.688,0.173,-0.976,-0.471,-0.838,-0.8,-0.255,-0.569,0.239,-0.243,0.334,-0.065,0.273,0.012,0.202,0.044,0.15,0.059,0.115,0.068,0.093,0.076,0.078,0.086,0.068,0.104,0.063,0.126,0.06,0.0,0.0,0.0,0.0
4246,6818.75149247714,308.899292970929,6810.46425297451,300.262364113162,4.46151839128966,11.2081672193102,13.7255017429592,6.93529226830465,0.984,-0.172,0.644,-0.757,-0.017,-0.984,-0.68,-0.645,-0.755,0.08,-0.327,0.371,-0.064,0.301,0.029,0.202,0.059,0.137,0.068,0.098,0.073,0.074,0.08,0.06,0.092,0.051,0.118,0.045,0.178,0.034,0.296,-0.013,0.0,0.0,0.0,0.0
4247,6807.84645919794,298.830973332688,6807.7473068705,302.148034345338,6.67293870726369,14.3571487632094,9.87081578723184,3.04602239266601,0.985,-0.162,0.684,-0.724,0.072,-0.988,-0.594,-0.725,-0.749,-0.065,-0.425,0.28,-0.163,0.293,-0.037,0.23,0.019,0.173,0.045,0.134,0.059,0.107,0.07,0.09,0.084,0.08,0.105,0.075,0.143,0.072,0.2,0.068,0.0,0.0,0.0,0.0
4248,6812.4124371699,303.272049278377,6816.2692120444,299.046966702557,2.52313246319892,12.6335275261048,5.55836345417689,3.98990841189829,0.992,-0.117,0.826,-0.549,0.482,-0.855,0.028,-0.968,-0.436,-0.834,-0.751,-0.452,-0.748,0.011,-0.508,0.288,-0.264,0.35,-0.106,0.313,-0.019,0.257,0.028,0.207,0.054,0.169,0.069,0.141,0.082,0.121,0.091,0.111,0.0,0.0,0.0,0.0
4249,6816.17822072405,295.359153248106,6804.64062948189,294.314534067413,5.1670922990356,11.8151295149306,8.06735399894515,4.44411006672097,0.989,-0.141,0.757,-0.648,0.278,-0.954,-0.322,-0.932,-0.799,-0.489,-0.753,0.145,-0.357,0.389,-0.096,0.333,0.012,0.236,0.05,0.165,0.063,0.118,0.066,0.088,0.068,0.068,0.07,0.055,0.074,0.046,0.079,0.041,0.0,0.0,0.0,0.0
4250,6809.16835285836,305.700224544404,6801.28250616304,297.416034853716,2.65816229035528,10.8715937580029,9.5990869689704,3.78683713916596,0.99,-0.13,0.793,-0.603,0.373,-0.919,-0.177,-0.954,-0.64,-0.631,-0.741,-0.122,-0.528,0.211,-0.284,0.301,-0.124,0.279,-0.035,0.231,0.012,0.187,0.038,0.153,0.054,0.128,0.066,0.11,0.078,0.099,0.088,0.093,0.0,0.0,0.0,0.0
4251,6803.8631482752,301.805656691561,6817.02608134329,309.34208682114,2.58751632644105,11.3902405769834,11.8668685514559,6.28230252189262,0.987,-0.153,0.716,-0.692,0.158,-0.976,-0.485,-0.811,-0.767,-0.228,-0.538,0.215,-0.248,0.307,-0.082,0.263,-0.003,0.204,0.034,0.157,0.053,0.125,0.066,0.103,0.078,0.09,0.093,0.081,0.117,0.077,0.149,0.076,0.0,0.0,0.0,0.0
4252,6818.14661442485,294.05637124519,6808.72256209665,299.568574009763,5.42613629049743,14.6142552292214,9.87251578164879,6.67956359428,0.983,-0.172,0.644,-0.757,-0.012,-0.99,-0.701,-0.667,-0.791,0.12,-0.297,0.407,-0.032,0.298,0.046,0.188,0.065,0.122,0.068,0.083,0.069,0.061,0.071,0.047,0.078,0.038,0.092,0.031,0.121,0.023,0.168,0.009,0.0,0.0,0.0,0.0
4253,6818.39961066869,294.890833941997,6801.3955091495,297.630764508964,5.61162318401757,9.90008596584047,12.2851701668969,2.27703102781034,0.988,-0.146,0.738,-0.66,0.24,-0.952,-0.372,-0.888,-0.774,-0.382,-0.634,0.147,-0.324,0.307,-0.129,0.283,-0.031,0.227,0.017,0.179,0.042,0.144,0.059,0.12,0.072,0.104,0.087,0.093,0.109,0.086,0.134,0.082,0.0,0.0,0.0,0.0
4254,6817.36411703813,293.744475653162,6818.63819365213,302.378372517589,5.52213866071292,10.4374376636298,8.35239513330144,4.81759045060595,0.989,-0.14,0.762,-0.642,0.293,-0.95,-0.296,-0.947,-0.804,-0.538,-0.808,0.141,-0.369,0.426,-0.081,0.351,0.027,0.238,0.06,0.159,0.067,0.11,0.068,0.079,0.066,0.059,0.065,0.046,0.066,0.037,0.068,0.031,0.0,0.0,0.0,0.0
4255,6813.86777058274,310.00107193657,6801.88773317076,305.933128966188,5.82034903785,14.5364102081013,7.07428206676718,5.95895514516515,0.986,-0.156,0.702,-0.702,0.142,-0.97,-0.487,-0.833,-0.871,-0.248,-0.598,0.358,-0.165,0.411,0.015,0.279,0.065,0.179,0.077,0.119,0.078,0.083,0.078,0.061,0.08,0.048,0.087,0.038,0.102,0.03,0.125,0.023,0.0,0.0,0.0,0.0
4256,6818.53507886384,293.358015801542,6817.65444369928,309.758742950333,3.1880725030853,9.26830921927328,7.1171745727195,3.29762482729833,0.993,-0.111,0.846,-0.528,0.529,-0.843,0.09,-0.988,-0.39,-0.893,-0.749,-0.528,-0.785,-0.041,-0.548,0.272,-0.288,0.347,-0.12,0.311,-0.028,0.251,0.019,0.197,0.042,0.156,0.055,0.125,0.062,0.103,0.065,0.09,0.0,0.0,0.0,0.0
4257,6812.55556719224,294.724455834568,6810.16567786057,298.552943646093,5.56246275409038,14.3903523694354,11.1376577160843,3.13371905785561,0.985,-0.163,0.679,-0.728,0.058,-0.985,-0.597,-0.702,-0.726,-0.059,-0.417,0.267,-0.167,0.284,-0.043,0.228,0.014,0.176,0.042,0.138,0.058,0.113,0.072,0.097,0.088,0.088,0.114,0.085,0.164,0.084,0.242,0.078,0.0,0.0,0.0,0.0
4258,6814.50498612849,294.047498079658,6809.79898649653,303.976271762539,6.65746734858125,11.5466578086812,13.3223321919224,6.54093218223306,0.982,-0.18,0.611,-0.782,-0.087,-0.983,-0.776,-0.574,-0.722,0.252,-0.194,0.406,0.012,0.26,0.061,0.156,0.069,0.099,0.069,0.067,0.069,0.049,0.072,0.037,0.08,0.029,0.099,0.022,0.143,0.008,0.22,-0.028,0.0,0.0,0.0,0.0
4259,6806.35508218879,301.33735018034,6802.07656133242,304.810888531164,2.88263625323658,7.74541893507255,8.65911970139222,5.37037439290718,0.992,-0.119,0.824,-0.562,0.465,-0.879,-0.018,-0.989,-0.516,-0.822,-0.826,-0.365,-0.736,0.147,-0.411,0.373,-0.159,0.359,-0.029,0.28,0.029,0.208,0.054,0.155,0.064,0.118,0.068,0.092,0.069,0.074,0.071,0.064,0.0,0.0,0.0,0.0
4260,6809.22371334089,295.497650625793,6804.66679753006,299.43248056495,6.87607671675033,13.4921893892551,7.918038727528,4.04185632691939,0.987,-0.154,0.713,-0.695,0.157,-0.977,-0.486,-0.832,-0.826,-0.238,-0.569,0.286,-0.209,0.361,-0.031,0.274,0.036,0.19,0.059,0.134,0.067,0.098,0.071,0.075,0.075,0.06,0.082,0.05,0.095,0.043,0.112,0.038,0.0,0.0,0.0,0.0
4261,6814.50445657601,303.483394650755,6803.26743414922,295.236265809758,3.90456013072404,10.0872888565195,5.08627003250257,5.80860099902115,0.992,-0.119,0.823,-0.556,0.472,-0.865,0.018,-0.976,-0.454,-0.864,-0.843,-0.486,-0.884,0.12,-0.479,0.481,-0.126,0.44,0.022,0.308,0.07,0.208,0.081,0.143,0.081,0.101,0.078,0.074,0.074,0.056,0.072,0.046,0.0,0.0,0.0,0.0
4262,6811.12506394661,296.15358476702,6804.84749519688,303.939886317987,5.87285755368232,8.90855007243159,10.3712156275256,4.5416593446806,0.988,-0.143,0.748,-0.653,0.266,-0.952,-0.329,-0.932,-0.829,-0.488,-0.774,0.199,-0.321,0.428,-0.059,0.335,0.034,0.225,0.062,0.151,0.069,0.106,0.069,0.077,0.069,0.059,0.069,0.046,0.072,0.037,0.077,0.032,0.0,0.0,0.0,0.0
4263,6802.44975941667,299.216033790292,6806.45609432393,306.956013901565,2.76748659968718,10.864582146761,9.31021108920308,5.08882017540368,0.99,-0.134,0.779,-0.621,0.337,-0.935,-0.236,-0.952,-0.712,-0.578,-0.758,-0.011,-0.466,0.296,-0.203,0.327,-0.06,0.268,0.007,0.206,0.039,0.158,0.055,0.124,0.063,0.1,0.07,0.084,0.077,0.073,0.084,0.067,0.0,0.0,0.0,0.0
4264,6805.87507532643,302.617500512933,6818.42944955344,296.606301090266,3.05931928366229,9.23439514737621,11.4547542334648,2.23090288009997,0.991,-0.127,0.799,-0.59,0.395,-0.897,-0.122,-0.941,-0.563,-0.666,-0.704,-0.22,-0.565,0.116,-0.357,0.254,-0.196,0.273,-0.093,0.25,-0.029,0.218,0.011,0.19,0.038,0.168,0.06,0.152,0.082,0.142,0.101,0.138,0.0,0.0,0.0,0.0
4265,6810.92686227666,308.440349723766,6815.23483758495,306.373212440013,3.35660882426242,7.67734744334195,11.1525911927189,2.71254544396099,0.991,-0.122,0.812,-0.57,0.44,-0.876,-0.044,-0.961,-0.511,-0.765,-0.756,-0.328,-0.664,0.094,-0.417,0.291,-0.212,0.316,-0.085,0.279,-0.014,0.231,0.026,0.191,0.05,0.16,0.067,0.137,0.081,0.122,0.093,0.114,0.0,0.0,0.0,0.0
4266,6812.74097371347,302.606096986422,6812.21827430619,308.361039930935,4.83846063756976,13.1892508615753,8.20315028720597,3.66351303314316,0.989,-0.142,0.753,-0.652,0.263,-0.956,-0.344,-0.907,-0.769,-0.44,-0.69,0.119,-0.361,0.333,-0.13,0.311,-0.019,0.241,0.03,0.18,0.053,0.138,0.064,0.109,0.072,0.089,0.08,0.077,0.092,0.069,0.106,0.065,0.0,0.0,0.0,0.0
4267,6806.23370746575,303.528040149514,6806.04980278077,304.446567488721,4.05057570776941,11.1137702833887,6.72263023766553,5.98086957228405,0.99,-0.132,0.784,-0.612,0.36,-0.922,-0.178,-0.971,-0.697,-0.691,-0.902,-0.07,-0.552,0.407,-0.168,0.419,0.0003979,0.298,0.056,0.2,0.072,0.136,0.074,0.097,0.072,0.071,0.07,0.054,0.07,0.043,0.071,0.036,0.0,0.0,0.0,0.0
4268,6802.83564279368,307.535967170284,6812.72719089103,300.951721407122,2.34347225193034,7.8878197375781,11.9340814925188,6.65662794576555,0.989,-0.138,0.765,-0.637,0.293,-0.941,-0.287,-0.908,-0.7,-0.501,-0.698,0.009,-0.437,0.273,-0.203,0.31,-0.067,0.265,0.003,0.211,0.039,0.167,0.058,0.135,0.071,0.113,0.084,0.099,0.1,0.09,0.117,0.086,0.0,0.0,0.0,0.0
4269,6803.36993497865,293.4972655938,6813.22134996389,308.350297364649,6.88693601913597,6.84465053209474,8.47810982517155,2.79693017335246,0.991,-0.123,0.81,-0.57,0.446,-0.873,-0.022,-0.981,-0.529,-0.839,-0.893,-0.354,-0.758,0.238,-0.356,0.43,-0.103,0.364,0.006,0.265,0.049,0.19,0.065,0.139,0.07,0.104,0.071,0.08,0.072,0.064,0.072,0.054,0.0,0.0,0.0,0.0
4270,6814.35607060963,298.028541156895,6813.4824138653,299.871289488187,4.53768813074012,14.0349780318292,8.80335019240057,6.39978263486408,0.986,-0.158,0.695,-0.71,0.12,-0.982,-0.542,-0.813,-0.864,-0.148,-0.506,0.364,-0.138,0.363,0.008,0.25,0.053,0.166,0.066,0.114,0.07,0.083,0.071,0.063,0.075,0.051,0.083,0.042,0.099,0.036,0.12,0.03,0.0,0.0,0.0,0.0
4271,6817.41426968861,301.746164222773,6801.59079966075,305.108443897732,5.59046514188473,10.3950274092772,11.132198084314,3.34440135437001,0.988,-0.146,0.738,-0.665,0.233,-0.962,-0.391,-0.897,-0.813,-0.371,-0.65,0.2,-0.294,0.349,-0.088,0.293,0.002,0.218,0.039,0.161,0.056,0.122,0.064,0.096,0.07,0.079,0.078,0.067,0.089,0.059,0.102,0.055,0.0,0.0,0.0,0.0
4272,6815.301217507,297.687925650328,6805.75991427323,302.466624594048,3.85396072152768,12.2702740833789,7.50805525442186,5.01639589149829,0.989,-0.136,0.772,-0.628,0.322,-0.937,-0.249,-0.951,-0.742,-0.582,-0.803,0.032,-0.452,0.364,-0.156,0.358,-0.017,0.269,0.038,0.192,0.059,0.14,0.067,0.105,0.07,0.082,0.073,0.067,0.078,0.056,0.084,0.05,0.0,0.0,0.0,0.0
4273,6809.11837327426,306.637998876188,6802.11270630447,297.754036979064,4.69461113065744,12.5810054189924,5.49204796815745,4.32318711253573,0.99,-0.129,0.795,-0.597,0.387,-0.905,-0.129,-0.96,-0.608,-0.716,-0.838,-0.208,-0.646,0.27,-0.297,0.407,-0.077,0.343,0.021,0.251,0.059,0.182,0.073,0.134,0.078,0.103,0.081,0.081,0.085,0.067,0.09,0.059,0.0,0.0,0.0,0.0
4274,6801.09231459523,293.500951652667,6810.19325502394,301.487019317407,2.26949163095406,9.69885624999506,5.81859241366652,6.31726625725864,0.992,-0.115,0.834,-0.539,0.506,-0.848,0.068,-0.985,-0.417,-0.898,-0.814,-0.518,-0.842,0.047,-0.516,0.376,-0.213,0.396,-0.052,0.315,0.021,0.234,0.051,0.174,0.064,0.132,0.069,0.102,0.07,0.081,0.071,0.069,0.0,0.0,0.0,0.0
4275,6818.65115005799,295.284585692983,6806.50916509186,301.264996246275,2.55739745641327,9.68528907708521,8.77743774746281,5.52933614019842,0.991,-0.128,0.8,-0.595,0.396,-0.913,-0.141,-0.979,-0.647,-0.696,-0.813,-0.142,-0.569,0.261,-0.27,0.348,-0.092,0.297,-0.006,0.229,0.033,0.173,0.052,0.133,0.06,0.105,0.065,0.086,0.07,0.072,0.074,0.064,0.0,0.0,0.0,0.0
4276,6811.61535876427,309.536186621846,6812.75767891537,308.064343167455,3.90610449886459,8.12635468180896,9.00742901189595,3.36066377317072,0.992,-0.119,0.825,-0.558,0.472,-0.872,-0.003,-0.988,-0.5,-0.833,-0.819,-0.384,-0.738,0.125,-0.426,0.355,-0.178,0.352,-0.046,0.282,0.017,0.215,0.045,0.164,0.059,0.128,0.065,0.102,0.069,0.084,0.072,0.074,0.0,0.0,0.0,0.0
4277,6813.27495641709,294.008766552777,6803.08442329003,295.092072605893,6.52138327344611,14.2413427068333,12.6862841630978,3.92965968705575,0.983,-0.177,0.623,-0.775,-0.077,-0.984,-0.732,-0.544,-0.654,0.152,-0.263,0.326,-0.06,0.26,0.017,0.185,0.047,0.133,0.06,0.101,0.07,0.081,0.081,0.069,0.1,0.063,0.136,0.058,0.22,0.044,0.379,-0.026,0.0,0.0,0.0,0.0
4278,6814.51261757618,305.104345387557,6814.42184671899,305.631791489629,4.15609458073685,13.696869127566,10.6389028219268,5.26289774477988,0.986,-0.159,0.692,-0.716,0.099,-0.986,-0.565,-0.77,-0.801,-0.111,-0.47,0.31,-0.161,0.327,-0.02,0.244,0.034,0.174,0.056,0.127,0.065,0.098,0.072,0.078,0.081,0.067,0.094,0.059,0.12,0.054,0.155,0.05,0.0,0.0,0.0,0.0
4279,6813.01096408239,300.912385963203,6816.69097946488,307.890322455541,3.54926178377069,14.2095251796207,8.93820512931497,4.63602583929256,0.988,-0.147,0.734,-0.671,0.215,-0.963,-0.404,-0.866,-0.774,-0.349,-0.628,0.166,-0.311,0.326,-0.109,0.293,-0.011,0.228,0.033,0.174,0.055,0.136,0.068,0.11,0.079,0.094,0.092,0.084,0.114,0.078,0.142,0.075,0.0,0.0,0.0,0.0
4280,6802.06147743229,308.675510099221,6802.51721170477,295.98384892329,3.23774294518672,9.68682723174499,6.46979158011657,2.62142786805088,0.993,-0.107,0.858,-0.508,0.564,-0.821,0.15,-0.979,-0.311,-0.92,-0.679,-0.612,-0.782,-0.166,-0.618,0.177,-0.379,0.313,-0.195,0.318,-0.081,0.276,-0.016,0.228,0.021,0.186,0.041,0.154,0.054,0.129,0.061,0.114,0.0,0.0,0.0,0.0
